Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
Q9C0D0	reviewed	PHAR1_HUMAN	Phosphatase and actin regulator 1	PHACTR1 KIAA1733 RPEL1	Homo sapiens (Human)	580	PHACTR1
O14639	reviewed	ABLM1_HUMAN	Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)	ABLIM1 ABLIM KIAA0059 LIMAB1	Homo sapiens (Human)	778	ABLIM1
Q9BYX7	reviewed	ACTBM_HUMAN	Putative beta-actin-like protein 3 (Kappa-actin) (POTE ankyrin domain family member K)	POTEKP ACTBL3 FKSG30	Homo sapiens (Human)	375	POTEKP
O94929	reviewed	ABLM3_HUMAN	Actin-binding LIM protein 3 (abLIM-3) (Actin-binding LIM protein family member 3)	ABLIM3 KIAA0843 HMFN1661	Homo sapiens (Human)	683	ABLIM3
Q6H8Q1	reviewed	ABLM2_HUMAN	Actin-binding LIM protein 2 (abLIM-2) (Actin-binding LIM protein family member 2)	ABLIM2 KIAA1808	Homo sapiens (Human)	611	ABLIM2
Q9GZN1	reviewed	ARP6_HUMAN	Actin-related protein 6 (hArp6) (hARPX)	ACTR6 CDA12	Homo sapiens (Human)	396	ACTR6
O76041	reviewed	NEBL_HUMAN	Nebulette (Actin-binding Z-disk protein)	NEBL C10orf113 LNEBL	Homo sapiens (Human)	1014	NEBL
Q8TDG2	reviewed	ACTT1_HUMAN	Actin-related protein T1 (ARP-T1)	ACTRT1 ARPT1 HSD27	Homo sapiens (Human)	376	ACTRT1
Q0ZGT2	reviewed	NEXN_HUMAN	Nexilin (F-actin-binding protein) (Nelin)	NEXN	Homo sapiens (Human)	675	NEXN
P07830	reviewed	ACT1_DICDI	Major actin (EC 3.6.4.-) (Actin A1) (Actin A12) (Actin A8) (Actin III) (Actin M6) (Actin-1) (Actin-11) (Actin-12) (Actin-13) (Actin-14) (Actin-15) (Actin-16) (Actin-19) (Actin-2) (Actin-2-sub 1) (Actin-20) (Actin-21) (Actin-3a) (Actin-4) (Actin-5) (Actin-6) (Actin-7) (Actin-8) (Actin-9) (Actin-IEL1)	act1 act1a DDB_G0289553; act2 act2-1 DDB_G0274133; act4 DDB_G0289005; act5 DDB_G0289663; act6 DDB_G0274135; act7 DDB_G0280545; act8 actA8 DDB_G0269234; act9 DDB_G0274601; act11 DDB_G0288879; act12 DDB_G0274129; act13 DDB_G0274599; act14 actB1 DDB_G0274137; act15 actA1 DDB_G0272520; act16 actM6 DDB_G0272248; act19 DDB_G0274727; act20 DDB_G0274285; act21 DDB_G0274561	Dictyostelium discoideum (Social amoeba)	376	act1; act2; act4; act5; act6; act7; act8; act9; act11; act12; act13; act14; act15; act16; act19; act20; act21
P42025	reviewed	ACTY_HUMAN	Beta-centractin (Actin-related protein 1B) (ARP1B)	ACTR1B CTRN2	Homo sapiens (Human)	376	ACTR1B
P06396	reviewed	GELS_HUMAN	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	Homo sapiens (Human)	782	GSN
Q9UPN3	reviewed	MACF1_HUMAN	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA0754 KIAA1251	Homo sapiens (Human)	7388	MACF1
P40121	reviewed	CAPG_HUMAN	Macrophage-capping protein (Actin regulatory protein CAP-G)	CAPG AFCP MCP	Homo sapiens (Human)	348	CAPG
P47756	reviewed	CAPZB_HUMAN	F-actin-capping protein subunit beta (CapZ beta)	CAPZB	Homo sapiens (Human)	272	CAPZB
O95198	reviewed	KLHL2_HUMAN	Kelch-like protein 2 (Actin-binding protein Mayven)	KLHL2	Homo sapiens (Human)	593	KLHL2
Q9H2D6	reviewed	TARA_HUMAN	TRIO and F-actin-binding protein (Protein Tara) (TRF1-associated protein of 68 kDa) (Trio-associated repeat on actin)	TRIOBP KIAA1662 TARA HRIHFB2122	Homo sapiens (Human)	2365	TRIOBP
Q9Y664	reviewed	KPTN_HUMAN	KICSTOR complex protein kaptin (Actin-associated protein 2E4)	KPTN	Homo sapiens (Human)	436	KPTN
O94805	reviewed	ACL6B_HUMAN	Actin-like protein 6B (53 kDa BRG1-associated factor B) (Actin-related protein Baf53b) (ArpNalpha) (BRG1-associated factor 53B) (BAF53B)	ACTL6B ACTL6 BAF53B	Homo sapiens (Human)	426	ACTL6B
P21333	reviewed	FLNA_HUMAN	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	FLNA FLN FLN1	Homo sapiens (Human)	2647	FLNA
Q9H981	reviewed	ARP8_HUMAN	Actin-related protein 8 (hArp8) (INO80 complex subunit N)	ACTR8 ARP8 INO80N	Homo sapiens (Human)	624	ACTR8
P47755	reviewed	CAZA2_HUMAN	F-actin-capping protein subunit alpha-2 (CapZ alpha-2)	CAPZA2	Homo sapiens (Human)	286	CAPZA2
P52907	reviewed	CAZA1_HUMAN	F-actin-capping protein subunit alpha-1 (CapZ alpha-1)	CAPZA1	Homo sapiens (Human)	286	CAPZA1
Q16658	reviewed	FSCN1_HUMAN	Fascin (55 kDa actin-bundling protein) (Singed-like protein) (p55)	FSCN1 FAN1 HSN SNL	Homo sapiens (Human)	493	FSCN1
P42768	reviewed	WASP_HUMAN	Actin nucleation-promoting factor WAS (Wiskott-Aldrich syndrome protein) (WASp)	WAS IMD2	Homo sapiens (Human)	502	WAS
Q9H9F9	reviewed	ARP5_HUMAN	Actin-related protein 5 (hARP5) (Sarcoma antigen NY-SAR-16)	ACTR5 ARP5	Homo sapiens (Human)	607	ACTR5
P53492	reviewed	ACT7_ARATH	Actin-7 (EC 3.6.4.-) (Actin-2)	ACT7 At5g09810 MYH9.2	Arabidopsis thaliana (Mouse-ear cress)	377	ACT7
O96019	reviewed	ACL6A_HUMAN	Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K)	ACTL6A BAF53 BAF53A INO80K	Homo sapiens (Human)	429	ACTL6A
Q08495	reviewed	DEMA_HUMAN	Dematin (Dematin actin-binding protein) (Erythrocyte membrane protein band 4.9)	DMTN DMT EPB49	Homo sapiens (Human)	405	DMTN
Q8N4X5	reviewed	AF1L2_HUMAN	Actin filament-associated protein 1-like 2 (AFAP1-like protein 2)	AFAP1L2 KIAA1914 XB130	Homo sapiens (Human)	818	AFAP1L2
Q702N8	reviewed	XIRP1_HUMAN	Xin actin-binding repeat-containing protein 1 (Cardiomyopathy-associated protein 1)	XIRP1 CMYA1 XIN	Homo sapiens (Human)	1843	XIRP1
Q96KR7	reviewed	PHAR3_HUMAN	Phosphatase and actin regulator 3 (Scaffold-associated PP1-inhibiting protein) (Scapinin)	PHACTR3 C20orf101 SCAPIN1	Homo sapiens (Human)	559	PHACTR3
Q8TED9	reviewed	AF1L1_HUMAN	Actin filament-associated protein 1-like 1 (AFAP1-like protein 1)	AFAP1L1	Homo sapiens (Human)	768	AFAP1L1
Q96M96	reviewed	FGD4_HUMAN	FYVE, RhoGEF and PH domain-containing protein 4 (Actin filament-binding protein frabin) (FGD1-related F-actin-binding protein) (Zinc finger FYVE domain-containing protein 6)	FGD4 FRABP ZFYVE6	Homo sapiens (Human)	766	FGD4
Q9UHB6	reviewed	LIMA1_HUMAN	LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm)	LIMA1 EPLIN SREBP3 PP624	Homo sapiens (Human)	759	LIMA1
O00401	reviewed	WASL_HUMAN	Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP)	WASL	Homo sapiens (Human)	505	WASL
O75083	reviewed	WDR1_HUMAN	WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1)	WDR1	Homo sapiens (Human)	606	WDR1
Q7RTP6	reviewed	MICA3_HUMAN	[F-actin]-monooxygenase MICAL3 (EC 1.14.13.225) (Molecule interacting with CasL protein 3) (MICAL-3)	MICAL3 KIAA0819 KIAA1364	Homo sapiens (Human)	2002	MICAL3
P02574	reviewed	ACT4_DROME	Actin, larval muscle (EC 3.6.4.-) (Actin-79B)	Act79B CG7478	Drosophila melanogaster (Fruit fly)	376	Act79B
P60010	reviewed	ACT_YEAST	Actin (EC 3.6.4.-)	ACT1 ABY1 END7 YFL039C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	375	ACT1
O75369	reviewed	FLNB_HUMAN	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)	2602	FLNB
O95990	reviewed	F107A_HUMAN	Actin-associated protein FAM107A (Down-regulated in renal cell carcinoma 1) (Protein TU3A)	FAM107A DRR1 TU3A	Homo sapiens (Human)	144	FAM107A
P32392	reviewed	ARP3_DROME	Actin-related protein 3 (Actin-2) (Actin-like protein 3) (Actin-like protein 66B)	Arp3 Actr66B Arp66B CG7558	Drosophila melanogaster (Fruit fly)	418	Arp3
J3QPC3	reviewed	ACTMP_MOUSE	Actin maturation protease (EC 3.4.11.-) (Actin aminopeptidase ACTMAP)	Actmap	Mus musculus (Mouse)	361	Actmap
O60264	reviewed	SMCA5_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	SMARCA5 SNF2H WCRF135	Homo sapiens (Human)	1052	SMARCA5
Q9QY84	reviewed	ACL7A_MOUSE	Actin-like protein 7A (Actin-like-7-alpha) (Testis-specific actin-2) (T-actin-2)	Actl7a Tact2	Mus musculus (Mouse)	440	Actl7a
P07829	reviewed	ACT3_DICDI	Actin-3 (EC 3.6.4.-) (Actin-3-sub 1)	act3 act3-1 DDB_G0289487	Dictyostelium discoideum (Social amoeba)	376	act3
P83967	reviewed	ACT6_DROME	Actin, indirect flight muscle (EC 3.6.4.-) (Actin-88F)	Act88F CG5178	Drosophila melanogaster (Fruit fly)	376	Act88F
Q6T4R5	reviewed	NHS_HUMAN	Actin remodeling regulator NHS (Congenital cataracts and dental anomalies protein) (Nance-Horan syndrome protein)	NHS	Homo sapiens (Human)	1651	NHS
Q08043	reviewed	ACTN3_HUMAN	Alpha-actinin-3 (Alpha-actinin skeletal muscle isoform 3) (F-actin cross-linking protein)	ACTN3	Homo sapiens (Human)	901	ACTN3
P35609	reviewed	ACTN2_HUMAN	Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein)	ACTN2	Homo sapiens (Human)	894	ACTN2
A4UGR9	reviewed	XIRP2_HUMAN	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)	XIRP2 CMYA3	Homo sapiens (Human)	3374	XIRP2
P60712	reviewed	ACTB_BOVIN	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB	Bos taurus (Bovine)	375	ACTB
P63258	reviewed	ACTG_BOVIN	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	ACTG1 ACTG	Bos taurus (Bovine)	375	ACTG1
P63259	reviewed	ACTG_RAT	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	Actg1 Actg	Rattus norvegicus (Rat)	375	Actg1
P60711	reviewed	ACTB_RAT	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	Actb	Rattus norvegicus (Rat)	375	Actb
P63260	reviewed	ACTG_MOUSE	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	Actg1 Actg	Mus musculus (Mouse)	375	Actg1
P60710	reviewed	ACTB_MOUSE	Actin, cytoplasmic 1 (Beta-actin) (EC 3.6.4.-) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	Actb	Mus musculus (Mouse)	375	Actb
Q765P7	reviewed	MTSS2_HUMAN	Protein MTSS 2 (Actin-bundling with BAIAP2 homology protein 1) (ABBA-1) (MTSS1-like protein)	MTSS2 MTSS1L	Homo sapiens (Human)	747	MTSS2
Q5T0N5	reviewed	FBP1L_HUMAN	Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1) (Toca-1)	FNBP1L C1orf39 TOCA1	Homo sapiens (Human)	605	FNBP1L
Q9NTJ5	reviewed	SAC1_HUMAN	Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein)	SACM1L KIAA0851 SAC1	Homo sapiens (Human)	587	SACM1L
Q6NYC8	reviewed	PPR18_HUMAN	Phostensin (Protein phosphatase 1 F-actin cytoskeleton-targeting subunit) (Protein phosphatase 1 regulatory subunit 18)	PPP1R18 HKMT1098 KIAA1949	Homo sapiens (Human)	613	PPP1R18
Q8N1B4	reviewed	VPS52_HUMAN	Vacuolar protein sorting-associated protein 52 homolog (SAC2 suppressor of actin mutations 2-like protein)	VPS52 SACM2L	Homo sapiens (Human)	723	VPS52
P63269	reviewed	ACTH_RAT	Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]	Actg2 Acta3 Actsg	Rattus norvegicus (Rat)	376	Actg2
P32381	reviewed	ARP2_YEAST	Actin-related protein 2 (Actin-like protein ARP2) (Actin-like protein 2)	ARP2 ACT2 YDL029W D2778	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	391	ARP2
P42528	reviewed	ARP3_DICDI	Actin-related protein 3 (Actin-like protein 3) (Actin-related protein C)	arpC aclA act DDB_G0283755	Dictyostelium discoideum (Social amoeba)	418	arpC
P80428	reviewed	ARP4_YEAST	Actin-related protein 4 (Actin-like protein ARP4) (Actin-like protein 4)	ARP4 ACT3 YJL081C J1012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	489	ARP4
O96621	reviewed	ARP2_DICDI	Actin-related protein 2 (Actin-like protein 2) (Actin-related protein B)	arpB arp2 DDB_G0272106	Dictyostelium discoideum (Social amoeba)	392	arpB
P63268	reviewed	ACTH_MOUSE	Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]	Actg2 Acta3 Actsg	Mus musculus (Mouse)	376	Actg2
P10984	reviewed	ACT2_CAEEL	Actin-2 (EC 3.6.4.-)	act-2 T04C12.5	Caenorhabditis elegans	376	act-2
P10987	reviewed	ACT1_DROME	Actin-5C (EC 3.6.4.-)	Act5C CG4027	Drosophila melanogaster (Fruit fly)	376	Act5C
Q96293	reviewed	ACT8_ARATH	Actin-8 (EC 3.6.4.-)	ACT8 At1g49240 F27J15.1	Arabidopsis thaliana (Mouse-ear cress)	377	ACT8
P0CJ46	reviewed	ACT1_ARATH	Actin-1 (EC 3.6.4.-)	ACT1 AAC1 At2g37620 F13M22.12	Arabidopsis thaliana (Mouse-ear cress)	377	ACT1
P10981	reviewed	ACT5_DROME	Actin-87E (EC 3.6.4.-)	Act87E CG18290	Drosophila melanogaster (Fruit fly)	376	Act87E
P53501	reviewed	ACT3_DROME	Actin-57B (EC 3.6.4.-)	Act57B CG10067	Drosophila melanogaster (Fruit fly)	376	Act57B
Q54GX7	reviewed	ACT10_DICDI	Actin-10 (EC 3.6.4.-)	act10 DDB_G0289811	Dictyostelium discoideum (Social amoeba)	376	act10
O15511	reviewed	ARPC5_HUMAN	Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC)	ARPC5 ARC16	Homo sapiens (Human)	151	ARPC5
P59998	reviewed	ARPC4_HUMAN	Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC)	ARPC4 ARC20	Homo sapiens (Human)	168	ARPC4
Q86TU7	reviewed	SETD3_HUMAN	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3) (hSETD3)	SETD3 C14orf154	Homo sapiens (Human)	594	SETD3
P02572	reviewed	ACT2_DROME	Actin-42A (EC 3.6.4.-)	Act42A CG12051	Drosophila melanogaster (Fruit fly)	376	Act42A
Q96292	reviewed	ACT2_ARATH	Actin-2 (EC 3.6.4.-)	ACT2 At3g18780 MVE11.16	Arabidopsis thaliana (Mouse-ear cress)	377	ACT2
O15143	reviewed	ARC1B_HUMAN	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	ARPC1B ARC41	Homo sapiens (Human)	372	ARPC1B
O15145	reviewed	ARPC3_HUMAN	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	ARPC3 ARC21	Homo sapiens (Human)	178	ARPC3
A5A3E0	reviewed	POTEF_HUMAN	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)	POTEF A26C1B	Homo sapiens (Human)	1075	POTEF
O15144	reviewed	ARPC2_HUMAN	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	ARPC2 ARC34 PRO2446	Homo sapiens (Human)	300	ARPC2
P68134	reviewed	ACTS_MOUSE	Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	Acta1 Acta	Mus musculus (Mouse)	377	Acta1
P68138	reviewed	ACTS_BOVIN	Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	ACTA1 ACTA	Bos taurus (Bovine)	377	ACTA1
P12814	reviewed	ACTN1_HUMAN	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	ACTN1	Homo sapiens (Human)	892	ACTN1
P62739	reviewed	ACTA_BOVIN	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS	Bos taurus (Bovine)	377	ACTA2
P62737	reviewed	ACTA_MOUSE	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	Acta2 Actsa Actvs	Mus musculus (Mouse)	377	Acta2
P62738	reviewed	ACTA_RAT	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	Acta2 Actsa Actvs	Rattus norvegicus (Rat)	377	Acta2
P68136	reviewed	ACTS_RAT	Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	Acta1 Acta	Rattus norvegicus (Rat)	377	Acta1
P33241	reviewed	LSP1_HUMAN	Lymphocyte-specific protein 1 (47 kDa actin-binding protein) (52 kDa phosphoprotein) (pp52) (Lymphocyte-specific antigen WP34)	LSP1 WP34	Homo sapiens (Human)	339	LSP1
P38696	reviewed	ARP1_YEAST	Centractin (Actin-like protein) (Actin-related protein 1)	ARP1 ACT3 ACT5 YHR129C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	384	ARP1
Q5M7U6	reviewed	ARP2_RAT	Actin-related protein 2 (Actin-like protein 2)	Actr2 Arp2	Rattus norvegicus (Rat)	394	Actr2
Q99JY9	reviewed	ARP3_MOUSE	Actin-related protein 3 (Actin-like protein 3)	Actr3 Arp3	Mus musculus (Mouse)	418	Actr3
Q4V7C7	reviewed	ARP3_RAT	Actin-related protein 3 (Actin-like protein 3)	Actr3 Arp3	Rattus norvegicus (Rat)	418	Actr3
P61161	reviewed	ARP2_MOUSE	Actin-related protein 2 (Actin-like protein 2)	Actr2 Arp2	Mus musculus (Mouse)	394	Actr2
Q9ULJ8	reviewed	NEB1_HUMAN	Neurabin-1 (Neurabin-I) (Neural tissue-specific F-actin-binding protein I) (Protein phosphatase 1 regulatory subunit 9A)	PPP1R9A KIAA1222	Homo sapiens (Human)	1098	PPP1R9A
Q96EL1	reviewed	INKA1_HUMAN	PAK4-inhibitor INKA1 (Induced in neural crest by AP2-alpha protein homolog) (Inca) (Inka-box actin regulator 1)	INKA1 C3orf54 FAM212A	Homo sapiens (Human)	287	INKA1
Q14315	reviewed	FLNC_HUMAN	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	FLNC ABPL FLN2	Homo sapiens (Human)	2725	FLNC
P68035	reviewed	ACTC_RAT	Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	Actc1 Actc	Rattus norvegicus (Rat)	377	Actc1
Q3ZC07	reviewed	ACTC_BOVIN	Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	ACTC1 ACTC	Bos taurus (Bovine)	377	ACTC1
O94851	reviewed	MICA2_HUMAN	[F-actin]-monooxygenase MICAL2 (EC 1.14.13.225) (MICAL C-terminal-like protein) (Mical-cL) (Molecule interacting with CasL protein 2) (MICAL-2)	MICAL2 KIAA0750 MICAL2PV1 MICAL2PV2 MICALCL	Homo sapiens (Human)	1957	MICAL2
Q969G3	reviewed	SMCE1_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (BRG1-associated factor 57) (BAF57)	SMARCE1 BAF57	Homo sapiens (Human)	411	SMARCE1
P68033	reviewed	ACTC_MOUSE	Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	Actc1 Actc	Mus musculus (Mouse)	377	Actc1
Q553U6	reviewed	ACT22_DICDI	Putative actin-22 (EC 3.6.4.-)	act22 DDB_G0275023	Dictyostelium discoideum (Social amoeba)	376	act22
P15891	reviewed	ABP1_YEAST	Actin-binding protein	ABP1 YCR088W YCR88W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	592	ABP1
P12273	reviewed	PIP_HUMAN	Prolactin-inducible protein (Gross cystic disease fluid protein 15) (GCDFP-15) (Prolactin-induced protein) (Secretory actin-binding protein) (SABP) (gp17)	PIP GCDFP15 GPIP4	Homo sapiens (Human)	146	PIP
Q8TDZ2	reviewed	MICA1_HUMAN	[F-actin]-monooxygenase MICAL1 (EC 1.14.13.225) (EC 1.6.3.1) (Molecule interacting with CasL protein 1) (MICAL-1) (NEDD9-interacting protein with calponin homology and LIM domains)	MICAL1 MICAL NICAL	Homo sapiens (Human)	1067	MICAL1
P24005	reviewed	ACTB_DICDI	Calcium-regulated actin-bundling protein (34 kDa actin-binding protein)	abpB DDB_G0279081	Dictyostelium discoideum (Social amoeba)	295	abpB
Q9H4L7	reviewed	SMRCD_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 (EC 3.6.4.12) (ATP-dependent helicase 1) (hHEL1)	SMARCAD1 KIAA1122	Homo sapiens (Human)	1026	SMARCAD1
