Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Organism (ID)
P08729	reviewed	K2C7_HUMAN	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)	KRT7 SCL	Homo sapiens (Human)	469	KRT7	9606
P08730	reviewed	K1C13_MOUSE	Keratin, type I cytoskeletal 13 (47 kDa cytokeratin) (Cytokeratin-13) (CK-13) (Keratin-13) (K13)	Krt13 Krt1-13	Mus musculus (Mouse)	437	Krt13	10090
P08779	reviewed	K1C16_HUMAN	Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	KRT16 KRT16A	Homo sapiens (Human)	473	KRT16	9606
P09216	reviewed	KPCE_RAT	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	Prkce Pkce	Rattus norvegicus (Rat)	737	Prkce	10116
P0CS83	reviewed	CARP2_CANAX	Secreted aspartic protease 2 (ACP 2) (Aspartate protease 2) (EC 3.4.23.24) (Candidapepsin-2) (Pepsinogen-11)	SAP2 PEP11 PRA11	Candida albicans (Yeast)	398	SAP2	5476
P0CY26	reviewed	CARP1_CANAX	Secreted aspartic protease 1 (ACP 1) (Aspartate protease 1) (EC 3.4.23.24) (Candidapepsin-1) (Pepsinogen-1) (Pepsinogen-10)	SAP1 PEP1 PEP10 PRA10	Candida albicans (Yeast)	391	SAP1	5476
P0CY27	reviewed	CARP1_CANAL	Secreted aspartic protease 1 (ACP 1) (Aspartate protease 1) (EC 3.4.23.24) (Candidapepsin-1) (Pepsinogen-1) (Pepsinogen-10)	SAP1 PEP1 PEP10 PRA10 CAALFM_C603490CA CaO19.13137 CaO19.5714	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	391	SAP1	237561
P0CY28	reviewed	CARP3_CANAX	Secreted aspartic protease 3 (ACP 3) (Aspartate protease 3) (EC 3.4.23.24) (Candidapepsin-3)	SAP3	Candida albicans (Yeast)	398	SAP3	5476
P0CY29	reviewed	CARP3_CANAL	Secreted aspartic protease 3 (ACP 3) (Aspartate protease 3) (EC 3.4.23.24) (Candidapepsin-3)	SAP3 CAALFM_C305230WA CaO19.13422 CaO19.6001	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	398	SAP3	237561
P0DJ06	reviewed	CARP2_CANAL	Secreted aspartic protease 2 (ACP 2) (Aspartate protease 2) (EC 3.4.23.24) (Candidapepsin-2) (Pepsinogen-11)	SAP2 PEP11 PRA11 CAALFM_CR07800WA CaO19.11193 CaO19.3708	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	398	SAP2	237561
P10830	reviewed	KPCE_RABIT	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	PRKCE	Oryctolagus cuniculus (Rabbit)	736	PRKCE	9986
P11440	reviewed	CDK1_MOUSE	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	Cdk1 Cdc2 Cdc2a Cdkn1	Mus musculus (Mouse)	297	Cdk1	10090
P11532	reviewed	DMD_HUMAN	Dystrophin	DMD	Homo sapiens (Human)	3685	DMD	9606
P11679	reviewed	K2C8_MOUSE	Keratin, type II cytoskeletal 8 (Cytokeratin endo A) (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	Krt8 Krt2-8	Mus musculus (Mouse)	490	Krt8	10090
P12035	reviewed	K2C3_HUMAN	Keratin, type II cytoskeletal 3 (65 kDa cytokeratin) (Cytokeratin-3) (CK-3) (Keratin-3) (K3) (Type-II keratin Kb3)	KRT3	Homo sapiens (Human)	628	KRT3	9606
P12839	reviewed	NFM_RAT	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	Nefm Nef3 Nfm	Rattus norvegicus (Rat)	846	Nefm	10116
P13645	reviewed	K1C10_HUMAN	Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)	KRT10 KPP	Homo sapiens (Human)	584	KRT10	9606
P13646	reviewed	K1C13_HUMAN	Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13)	KRT13	Homo sapiens (Human)	458	KRT13	9606
P13647	reviewed	K2C5_HUMAN	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	KRT5	Homo sapiens (Human)	590	KRT5	9606
P15331	reviewed	PERI_MOUSE	Peripherin	Prph Prph1	Mus musculus (Mouse)	475	Prph	10090
P16054	reviewed	KPCE_MOUSE	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	Prkce Pkce Pkcea	Mus musculus (Mouse)	737	Prkce	10090
P16144	reviewed	ITB4_HUMAN	Integrin beta-4 (GP150) (CD antigen CD104)	ITGB4	Homo sapiens (Human)	1822	ITGB4	9606
P17661	reviewed	DESM_HUMAN	Desmin	DES	Homo sapiens (Human)	470	DES	9606
P19001	reviewed	K1C19_MOUSE	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	Krt19 Krt1-19	Mus musculus (Mouse)	403	Krt19	10090
P19012	reviewed	K1C15_HUMAN	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	KRT15 KRTB	Homo sapiens (Human)	456	KRT15	9606
P19013	reviewed	K2C4_HUMAN	Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Keratin-4) (K4) (Type-II keratin Kb4)	KRT4 CYK4	Homo sapiens (Human)	520	KRT4	9606
P20152	reviewed	VIME_MOUSE	Vimentin	Vim	Mus musculus (Mouse)	466	Vim	10090
P20930	reviewed	FILA_HUMAN	Filaggrin	FLG	Homo sapiens (Human)	4061	FLG	9606
P21807	reviewed	PERI_RAT	Peripherin	Prph Prph1	Rattus norvegicus (Rat)	468	Prph	10116
P26371	reviewed	KRA59_HUMAN	Keratin-associated protein 5-9 (Keratin, cuticle, ultrahigh sulfur 1) (Keratin, ultra high-sulfur matrix protein A) (Keratin-associated protein 5.9) (UHS keratin A) (UHS KerA) (Ultrahigh sulfur keratin-associated protein 5.9)	KRTAP5-9 KAP5.9 KRN1 KRTAP5.9 UHSK1	Homo sapiens (Human)	169	KRTAP5-9	9606
P27782	reviewed	LEF1_MOUSE	Lymphoid enhancer-binding factor 1 (LEF-1)	Lef1	Mus musculus (Mouse)	397	Lef1	10090
P31000	reviewed	VIME_RAT	Vimentin	Vim	Rattus norvegicus (Rat)	466	Vim	10116
P31001	reviewed	DESM_MOUSE	Desmin	Des	Mus musculus (Mouse)	469	Des	10090
P31944	reviewed	CASPE_HUMAN	Caspase-14 (CASP-14) (EC 3.4.22.-) [Cleaved into: Caspase-14 subunit p17, mature form; Caspase-14 subunit p10, mature form; Caspase-14 subunit p20, intermediate form; Caspase-14 subunit p8, intermediate form]	CASP14	Homo sapiens (Human)	242	CASP14	9606
P35527	reviewed	K1C9_HUMAN	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	KRT9	Homo sapiens (Human)	623	KRT9	9606
P35900	reviewed	K1C20_HUMAN	Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20) (Protein IT)	KRT20	Homo sapiens (Human)	424	KRT20	9606
P35908	reviewed	K22E_HUMAN	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	KRT2 KRT2A KRT2E	Homo sapiens (Human)	639	KRT2	9606
P41219	reviewed	PERI_HUMAN	Peripherin (Neurofilament 4)	PRPH NEF4 PRPH1	Homo sapiens (Human)	470	PRPH	9606
P43094	reviewed	CARP5_CANAL	Secreted aspartic protease 5 (ACP 5) (Aspartate protease 5) (EC 3.4.23.24) (Candidapepsin-5)	SAP5 CAALFM_C603030WA CaO19.13032 CaO19.5585	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	418	SAP5	237561
P43096	reviewed	CARP7_CANAX	Secreted aspartic protease 7 (ACP 7) (Aspartate protease 7) (EC 3.4.23.24) (Candidapepsin-7)	SAP7	Candida albicans (Yeast)	588	SAP7	5476
P48432	reviewed	SOX2_MOUSE	Transcription factor SOX-2	Sox2 Sox-2	Mus musculus (Mouse)	319	Sox2	10090
P48616	reviewed	VIME_BOVIN	Vimentin	VIM	Bos taurus (Bovine)	466	VIM	9913
P48668	reviewed	K2C6C_HUMAN	Keratin, type II cytoskeletal 6C (Cytokeratin-6C) (CK-6C) (Cytokeratin-6E) (CK-6E) (Keratin K6h) (Keratin-6C) (K6C) (Type-II keratin Kb12)	KRT6C KRT6E	Homo sapiens (Human)	564	KRT6C	9606
P48729	reviewed	KC1A_HUMAN	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	Homo sapiens (Human)	337	CSNK1A1	9606
P50207	reviewed	HXC13_MOUSE	Homeobox protein Hox-C13	Hoxc13 Hoxc-13	Mus musculus (Mouse)	328	Hoxc13	10090
P50446	reviewed	K2C6A_MOUSE	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Keratin-6-alpha) (mK6-alpha) (Keratin-6A) (K6A)	Krt6a Ker2 Krt2-6 Krt2-6a Krt6	Mus musculus (Mouse)	553	Krt6a	10090
P58107	reviewed	EPIPL_HUMAN	Epiplakin (450 kDa epidermal antigen)	EPPK1 EPIPL	Homo sapiens (Human)	5088	EPPK1	9606
P59990	reviewed	KR121_HUMAN	Keratin-associated protein 12-1 (High sulfur keratin-associated protein 12.1) (Keratin-associated protein 12.1)	KRTAP12-1 KAP12.1 KRTAP12.1	Homo sapiens (Human)	96	KRTAP12-1	9606
P59991	reviewed	KR122_HUMAN	Keratin-associated protein 12-2 (High sulfur keratin-associated protein 12.2) (Keratin-associated protein 12.2)	KRTAP12-2 KAP12.2 KRTAP12.2	Homo sapiens (Human)	146	KRTAP12-2	9606
P60014	reviewed	KR10A_HUMAN	Keratin-associated protein 10-10 (High sulfur keratin-associated protein 10.10) (Keratin-associated protein 10.10) (Keratin-associated protein 18-10) (Keratin-associated protein 18.10)	KRTAP10-10 KAP10.10 KAP18-10 KRTAP10.10 KRTAP18-1 KRTAP18.10	Homo sapiens (Human)	251	KRTAP10-10	9606
P60328	reviewed	KR123_HUMAN	Keratin-associated protein 12-3 (High sulfur keratin-associated protein 12.3) (Keratin-associated protein 12.3)	KRTAP12-3 KAP12.3 KRTAP12.3	Homo sapiens (Human)	96	KRTAP12-3	9606
P60329	reviewed	KR124_HUMAN	Keratin-associated protein 12-4 (High sulfur keratin-associated protein 12.4) (Keratin-associated protein 12.4)	KRTAP12-4 KAP12.4 KRTAP12.4	Homo sapiens (Human)	112	KRTAP12-4	9606
P60368	reviewed	KR102_HUMAN	Keratin-associated protein 10-2 (High sulfur keratin-associated protein 10.2) (Keratin-associated protein 10.2) (Keratin-associated protein 18-2) (Keratin-associated protein 18.2)	KRTAP10-2 KAP10.2 KAP18-2 KRTAP10.2 KRTAP18-2 KRTAP18.2	Homo sapiens (Human)	255	KRTAP10-2	9606
P60370	reviewed	KR105_HUMAN	Keratin-associated protein 10-5 (High sulfur keratin-associated protein 10.5) (Keratin-associated protein 10.5) (Keratin-associated protein 18-5) (Keratin-associated protein 18.5)	KRTAP10-5 KAP10.5 KAP18-5 KRTAP10.5 KRTAP18-5 KRTAP18.5	Homo sapiens (Human)	271	KRTAP10-5	9606
P60371	reviewed	KR106_HUMAN	Keratin-associated protein 10-6 (High sulfur keratin-associated protein 10.6) (Keratin-associated protein 10.6) (Keratin-associated protein 18-6) (Keratin-associated protein 18.6)	KRTAP10-6 KAP10.6 KAP18-6 KRTAP10.6 KRTAP18-6 KRTAP18.6	Homo sapiens (Human)	365	KRTAP10-6	9606
P60372	reviewed	KR104_HUMAN	Keratin-associated protein 10-4 (High sulfur keratin-associated protein 10.4) (Keratin-associated protein 10.4) (Keratin-associated protein 18-4) (Keratin-associated protein 18.4)	KRTAP10-4 KAP10.4 KAP18-4 KRTAP10.4 KRTAP18-4 KRTAP18.4	Homo sapiens (Human)	401	KRTAP10-4	9606
P60409	reviewed	KR107_HUMAN	Keratin-associated protein 10-7 (High sulfur keratin-associated protein 10.7) (Keratin-associated protein 10.7) (Keratin-associated protein 18-7) (Keratin-associated protein 18.7)	KRTAP10-7 KAP10.7 KAP18-7 KRTAP10.7 KRTAP18-7 KRTAP18.7	Homo sapiens (Human)	370	KRTAP10-7	9606
P60410	reviewed	KR108_HUMAN	Keratin-associated protein 10-8 (High sulfur keratin-associated protein 10.8) (Keratin-associated protein 10.8) (Keratin-associated protein 18-8) (Keratin-associated protein 18.8)	KRTAP10-8 KAP10.8 KAP18-8 KRTAP10.8 KRTAP18-8 KRTAP18.8	Homo sapiens (Human)	259	KRTAP10-8	9606
P60411	reviewed	KR109_HUMAN	Keratin-associated protein 10-9 (High sulfur keratin-associated protein 10.9) (Keratin-associated protein 10.9) (Keratin-associated protein 18-9) (Keratin-associated protein 18.9)	KRTAP10-9 KAP10.9 KAP18-9 KRTAP10.9 KRTAP18-9 KRTAP18.9	Homo sapiens (Human)	292	KRTAP10-9	9606
P60412	reviewed	KR10B_HUMAN	Keratin-associated protein 10-11 (High sulfur keratin-associated protein 10.11) (Keratin-associated protein 10.11) (Keratin-associated protein 18-11) (Keratin-associated protein 18.11)	KRTAP10-11 KAP10.11 KAP18-11 KRTAP10.11 KRTAP18-11 KRTAP18.11	Homo sapiens (Human)	298	KRTAP10-11	9606
P67827	reviewed	KC1A_BOVIN	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	Bos taurus (Bovine)	325	CSNK1A1	9913
P67828	reviewed	KC1A_RABIT	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	Oryctolagus cuniculus (Rabbit)	325	CSNK1A1	9986
P67829	reviewed	KC1A_SHEEP	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	Ovis aries (Sheep)	325	CSNK1A1	9940
P67962	reviewed	KC1A_CHICK	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	Gallus gallus (Chicken)	337	CSNK1A1	9031
P67963	reviewed	KC1A_XENLA	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	csnk1a1	Xenopus laevis (African clawed frog)	337	csnk1a1	8355
P78385	reviewed	KRT83_HUMAN	Keratin, type II cuticular Hb3 (Hair keratin K2.10) (Keratin-83) (K83) (Type II hair keratin Hb3) (Type-II keratin Kb23)	KRT83 KRTHB3	Homo sapiens (Human)	493	KRT83	9606
P78386	reviewed	KRT85_HUMAN	Keratin, type II cuticular Hb5 (Hair keratin K2.12) (Keratin-85) (K85) (Type II hair keratin Hb5) (Type-II keratin Kb25)	KRT85 KRTHB5	Homo sapiens (Human)	507	KRT85	9606
P97633	reviewed	KC1A_RAT	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	Csnk1a1	Rattus norvegicus (Rat)	325	Csnk1a1	10116
Q01546	reviewed	K22O_HUMAN	Keratin, type II cytoskeletal 2 oral (Cytokeratin-2P) (CK-2P) (K2P) (Keratin-76) (K76) (Type-II keratin Kb9)	KRT76 KRT2B KRT2P	Homo sapiens (Human)	638	KRT76	9606
Q02156	reviewed	KPCE_HUMAN	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	PRKCE PKCE	Homo sapiens (Human)	737	PRKCE	9606
Q03001	reviewed	DYST_HUMAN	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST BP230 BP240 BPAG1 DMH DT KIAA0728	Homo sapiens (Human)	7570	DST	9606
Q04695	reviewed	K1C17_HUMAN	Keratin, type I cytoskeletal 17 (39.1) (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	KRT17	Homo sapiens (Human)	432	KRT17	9606
Q07283	reviewed	TRHY_HUMAN	Trichohyalin	TCHH THH THL TRHY	Homo sapiens (Human)	1943	TCHH	9606
Q07627	reviewed	KRA11_HUMAN	Keratin-associated protein 1-1 (High sulfur keratin-associated protein 1.1) (Keratin-associated protein 1.1) (Keratin-associated protein 1.6) (Keratin-associated protein 1.7)	KRTAP1-1 B2A KAP1.1 KAP1.6 KAP1.7 KRTAP1.1	Homo sapiens (Human)	177	KRTAP1-1	9606
Q10758	reviewed	K2C8_RAT	Keratin, type II cytoskeletal 8 (Cytokeratin endo A) (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	Krt8 Krt2-8	Rattus norvegicus (Rat)	483	Krt8	10116
Q13515	reviewed	BFSP2_HUMAN	Phakinin (49 kDa cytoskeletal protein) (Beaded filament structural protein 2) (Lens fiber cell beaded filament protein CP 47) (CP47) (Lens fiber cell beaded filament protein CP 49) (CP49) (Lens intermediate filament-like light) (LIFL-L)	BFSP2	Homo sapiens (Human)	415	BFSP2	9606
Q13618	reviewed	CUL3_HUMAN	Cullin-3 (CUL-3)	CUL3 KIAA0617	Homo sapiens (Human)	768	CUL3	9606
Q13835	reviewed	PKP1_HUMAN	Plakophilin-1 (Band 6 protein) (B6P)	PKP1	Homo sapiens (Human)	747	PKP1	9606
Q14525	reviewed	KT33B_HUMAN	Keratin, type I cuticular Ha3-II (Hair keratin, type I Ha3-II) (Keratin-33B) (K33B)	KRT33B HHA3-II HKA3B KRTHA3B	Homo sapiens (Human)	404	KRT33B	9606
Q14532	reviewed	K1H2_HUMAN	Keratin, type I cuticular Ha2 (Hair keratin, type I Ha2) (Keratin-32) (K32)	KRT32 HHA2 HKA2 KRTHA2	Homo sapiens (Human)	448	KRT32	9606
Q14533	reviewed	KRT81_HUMAN	Keratin, type II cuticular Hb1 (Hair keratin K2.9) (Keratin, hair, basic, 1) (Keratin-81) (K81) (Metastatic lymph node 137 gene protein) (MLN 137) (Type II hair keratin Hb1) (Type-II keratin Kb21) (ghHKb1) (ghHb1)	KRT81 KRTHB1 MLN137	Homo sapiens (Human)	505	KRT81	9606
Q14956	reviewed	GPNMB_HUMAN	Transmembrane glycoprotein NMB (Hematopoietic growth factor inducible neurokinin-1 type)	GPNMB HGFIN NMB UNQ1725/PRO9925	Homo sapiens (Human)	572	GPNMB	9606
