Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
Q8N6R1	reviewed	SERP2_HUMAN	Stress-associated endoplasmic reticulum protein 2 (Ribosome-associated membrane protein RAMP4-2)	SERP2 C13orf21	Homo sapiens (Human)	65	SERP2
Q9BT17	reviewed	MTG1_HUMAN	Mitochondrial ribosome-associated GTPase 1 (GTP-binding protein 7) (Mitochondrial GTPase 1)	MTG1 GTPBP7	Homo sapiens (Human)	334	MTG1
Q9H4K7	reviewed	MTG2_HUMAN	Mitochondrial ribosome-associated GTPase 2 (GTP-binding protein 5) (Protein obg homolog 1) (ObgH1)	MTG2 GTPBP5 OBGH1	Homo sapiens (Human)	406	MTG2
Q9Y221	reviewed	NIP7_HUMAN	60S ribosome subunit biogenesis protein NIP7 homolog (KD93) (Nucleolar pre-rRNA processing protein NIP7)	NIP7 CGI-37 HSPC031 HSPC180 OK/SW-cl.76 OK/SW-cl.78	Homo sapiens (Human)	180	NIP7
Q9BQ70	reviewed	TCF25_HUMAN	Ribosome quality control complex subunit TCF25 (Nuclear localized protein 1) (Transcription factor 25) (TCF-25)	TCF25 KIAA1049 NULP1 FKSG26	Homo sapiens (Human)	676	TCF25
O60524	reviewed	NEMF_HUMAN	Ribosome quality control complex subunit NEMF (Antigen NY-CO-1) (Nuclear export mediator factor) (Serologically defined colon cancer antigen 1)	NEMF SDCCAG1	Homo sapiens (Human)	1076	NEMF
Q969S9	reviewed	RRF2M_HUMAN	Ribosome-releasing factor 2, mitochondrial (RRF2mt) (EC 3.6.5.-) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2) (Elongation factor G2) (hEFG2)	GFM2 EFG2 MSTP027	Homo sapiens (Human)	779	GFM2
Q96AG4	reviewed	LRC59_HUMAN	Leucine-rich repeat-containing protein 59 (Ribosome-binding protein p34) (p34) [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]	LRRC59 PRO1855	Homo sapiens (Human)	307	LRRC59
P38805	reviewed	RPF1_YEAST	Ribosome production factor 1 (Ribosome biogenesis protein RPF1)	RPF1 YHR088W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	295	RPF1
Q9NZM5	reviewed	NOP53_HUMAN	Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60)	NOP53 GLT GLTSCR2 PICT1	Homo sapiens (Human)	478	NOP53
L0R8F8	reviewed	MIDUO_HUMAN	Mitochondrial ribosome and complex I assembly factor AltMIEF1 (Alternative MIEF1 protein) (AltMIEF1) (MIEF1 microprotein) (MIEF1-MP) (alternative transcript upstream of MiD51) (AltMiD51)	MIEF1 AltMiD51 AltMIEF1	Homo sapiens (Human)	70	MIEF1
Q04660	reviewed	ERB1_YEAST	Ribosome biogenesis protein ERB1 (Eukaryotic ribosome biogenesis protein 1)	ERB1 YMR049C YM9796.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	807	ERB1
Q99PL5	reviewed	RRBP1_MOUSE	Ribosome-binding protein 1 (Ribosome receptor protein) (RRp) (mRRp)	Rrbp1	Mus musculus (Mouse)	1605	Rrbp1
Q9BVQ7	reviewed	AFG2B_HUMAN	ATPase family gene 2 protein homolog B (EC 3.6.4.10) (AFG2 AAA ATPase homolog B) (Ribosome biogenesis protein SPATA5L1) (Spermatogenesis-associated protein 5-like protein 1)	AFG2B SPATA5L1	Homo sapiens (Human)	753	AFG2B
Q8NB90	reviewed	AFG2A_HUMAN	ATPase family gene 2 protein homolog A (EC 3.6.4.10) (AFG2 AAA ATPase homolog A) (Ribosome biogenesis protein SPATA5) (Spermatogenesis-associated factor protein) (Spermatogenesis-associated protein 5)	AFG2A SPAF SPATA5	Homo sapiens (Human)	893	AFG2A
Q92979	reviewed	NEP1_HUMAN	Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.-) (18S rRNA (pseudouridine(1248)-N1)-methyltransferase) (18S rRNA Psi1248 methyltransferase) (Nucleolar protein EMG1 homolog) (Protein C2f) (Ribosome biogenesis protein NEP1)	EMG1 C2F	Homo sapiens (Human)	244	EMG1
P0A7G2	reviewed	RBFA_ECOLI	30S ribosome-binding factor (Protein P15B) (Ribosome-binding factor A) (RbfA)	rbfA P15B yhbB b3167 JW3136	Escherichia coli (strain K12)	133	rbfA
P0ABU2	reviewed	YCHF_ECOLI	Ribosome-binding ATPase YchF	ychF engD gtp1 b1203 JW1194	Escherichia coli (strain K12)	363	ychF
P53251	reviewed	SLX9_YEAST	Ribosome biogenesis protein SLX9	SLX9 YGR081C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	210	SLX9
Q08235	reviewed	BRX1_YEAST	Ribosome biogenesis protein BRX1	BRX1 YOL077C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	291	BRX1
Q08965	reviewed	BMS1_YEAST	Ribosome biogenesis protein BMS1	BMS1 YPL217C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1183	BMS1
P36160	reviewed	RPF2_YEAST	Ribosome biogenesis protein RPF2	RPF2 YKR081C YKR401	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	344	RPF2
Q92616	reviewed	GCN1_HUMAN	Stalled ribosome sensor GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1) (HsGCN1)	GCN1 GCN1L1 KIAA0219	Homo sapiens (Human)	2671	GCN1
P25382	reviewed	NLE1_YEAST	Ribosome assembly protein 4 (Notchless protein homolog 1) (Ribosome biogenesis factor RSA4)	RSA4 YCR072C YCR72C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	515	RSA4
O43709	reviewed	BUD23_HUMAN	Probable 18S rRNA (guanine-N(7))-methyltransferase (EC 2.1.1.-) (Bud site selection protein 23 homolog) (Metastasis-related methyltransferase 1) (Williams-Beuren syndrome chromosomal region 22 protein) (rRNA methyltransferase and ribosome maturation factor)	BUD23 MERM1 WBSCR22 HUSSY-03 PP3381	Homo sapiens (Human)	281	BUD23
P0A7X6	reviewed	RIMM_ECOLI	Ribosome maturation factor RimM (21K)	rimM yfjA b2608 JW5413	Escherichia coli (strain K12)	182	rimM
P0AD49	reviewed	YFIA_ECOLI	Ribosome-associated inhibitor A (Protein Y) (pY) (Ribosome associated factor Y) (Spot Y)	raiA yfiA b2597 JW2578	Escherichia coli (strain K12)	113	raiA
P36675	reviewed	ARFA_ECOLI	Alternative ribosome-rescue factor A	arfA yhdL b4550 JW3253	Escherichia coli (strain K12)	72	arfA
P37624	reviewed	RBBA_ECOLI	Ribosome-associated ATPase (Ribosomal bound ATPase)	rbbA yhiG yhiH b3486 JW5676	Escherichia coli (strain K12)	911	rbbA
Q12080	reviewed	NOP53_YEAST	Ribosome biogenesis protein NOP53 (Nucleolar protein 53)	NOP53 YPL146C LPI2C P2610	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	455	NOP53
P0DW27	reviewed	MNS60_MOUSE	Ribosome biogenesis inhibitor MINAS-60 (MINAS-60)	Rbm10	Mus musculus (Mouse)	130	Rbm10
P53927	reviewed	NOP15_YEAST	Ribosome biogenesis protein 15 (Nucleolar protein 15)	NOP15 YNL110C N1954	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	220	NOP15
Q12024	reviewed	YTM1_YEAST	Ribosome biogenesis protein YTM1 (Microtubule-associated protein YTM1)	YTM1 YOR272W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	460	YTM1
P0AFX0	reviewed	HPF_ECOLI	Ribosome hibernation promoting factor (HPF) (Hibernation factor HPF)	hpf yhbH b3203 JW3170	Escherichia coli (strain K12)	95	hpf
P33201	reviewed	MRT4_YEAST	Ribosome assembly factor MRT4 (mRNA turnover protein 4)	MRT4 YKL009W YKL160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	236	MRT4
P40693	reviewed	RLP7_YEAST	Ribosome biogenesis protein RLP7 (Ribosomal protein L7-like)	RLP7 RPL7 YNL002C N2014	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	322	RLP7
P40078	reviewed	NSA2_YEAST	Ribosome biogenesis protein NSA2 (NOP7-associated protein 2)	NSA2 YER126C SYGP-ORF47	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261	NSA2
Q07915	reviewed	RLP24_YEAST	Ribosome biogenesis protein RLP24 (Ribosomal protein L24-like)	RLP24 YLR009W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	199	RLP24
Q9VBX1	reviewed	NEMF_DROME	Ribosome quality control complex subunit NEMF homolog (Protein Caliban)	Clbn CG11847	Drosophila melanogaster (Fruit fly)	992	Clbn
Q07381	reviewed	TSR1_YEAST	Ribosome biogenesis protein TSR1 (20S rRNA accumulation protein 1)	TSR1 YDL060W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	788	TSR1
Q6Z1J6	reviewed	OLA1_ORYSJ	Obg-like ATPase 1 (EC 3.6.5.-) (Ribosome-binding ATPase YchF) (OsYchF1)	YCHF1 LOC_Os08g09940 Os08g0199300 OsJ_26368 OSJNBb0094P23.28	Oryza sativa subsp. japonica (Rice)	394	YCHF1
P97452	reviewed	BOP1_MOUSE	Ribosome biogenesis protein BOP1 (Block of proliferation 1 protein)	Bop1 Kiaa0124	Mus musculus (Mouse)	732	Bop1
Q9SA73	reviewed	OLA1_ARATH	Obg-like ATPase 1 (Ribosome-binding ATPase YchF) (AtYchF1)	YchF1 At1g30580 T5I8.3	Arabidopsis thaliana (Mouse-ear cress)	394	YchF1
Q08962	reviewed	NIP7_YEAST	60S ribosome subunit biogenesis protein NIP7 (Nuclear import protein 7)	NIP7 YPL211W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	181	NIP7
Q12532	reviewed	RQC2_YEAST	Ribosome quality control complex subunit 2 (Translation-associated element 2)	RQC2 TAE2 YPL009C YP8132.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1038	RQC2
Q8CCP0	reviewed	NEMF_MOUSE	Ribosome quality control complex subunit NEMF (Nuclear export mediator factor)	Nemf	Mus musculus (Mouse)	1064	Nemf
O34530	reviewed	RSGA_BACSU	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-) (Ribosome-associated GTPase CpgA)	rsgA cpgA engC yloQ BSU15780	Bacillus subtilis (strain 168)	298	rsgA
P40711	reviewed	ARFB_ECOLI	Peptidyl-tRNA hydrolase ArfB (PTH) (EC 3.1.1.29) (Alternative ribosome-rescue factor B)	arfB yaeJ b0191 JW0187	Escherichia coli (strain K12)	140	arfB
P34241	reviewed	URB1_YEAST	Nucleolar pre-ribosomal-associated protein 1 (Unhealthy ribosome biogenesis protein 1)	URB1 NPA1 YKL014C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1764	URB1
Q9R2C1	reviewed	SERP1_RAT	Stress-associated endoplasmic reticulum protein 1 (Ribosome-attached membrane protein 4)	Serp1 Ramp4	Rattus norvegicus (Rat)	66	Serp1
P39115	reviewed	VMLR_BACSU	Ribosome protection protein VmlR (Multidrug resistance system ATP-binding protein VmlR)	vmlR expZ BSU05610	Bacillus subtilis (strain 168)	547	vmlR
Q9Z1W5	reviewed	SERP1_MOUSE	Stress-associated endoplasmic reticulum protein 1 (Ribosome-attached membrane protein 4)	Serp1 D3Ucla1 Ramp4	Mus musculus (Mouse)	66	Serp1
P40150	reviewed	SSB2_YEAST	Ribosome-associated molecular chaperone SSB2 (EC 3.6.4.10) (Heat shock protein SSB2) (Hsp70 chaperone Ssb)	SSB2 YG103 YNL209W N1333	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	613	SSB2
P53893	reviewed	RIA1_YEAST	Ribosome assembly protein 1 (EC 3.6.5.-) (EF-2-like GTPase) (Elongation factor-like 1)	RIA1 EFL1 YNL163C N1718	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1110	RIA1
P70122	reviewed	SBDS_MOUSE	Ribosome maturation protein SBDS (Protein 22A3) (Shwachman-Bodian-Diamond syndrome protein homolog)	Sbds	Mus musculus (Mouse)	250	Sbds
Q7KN79	reviewed	LTV1_DROME	Protein LTV1 homolog (Low temperature viability protein 1) (Ribosome biogenesis factor LTV1)	LTV1 CG7686	Drosophila melanogaster (Fruit fly)	493	LTV1
P0DTT0	reviewed	BIPA_ECOLI	Large ribosomal subunit assembly factor BipA (EC 3.6.5.-) (50S ribosomal subunit assembly factor BipA) (GTP-binding protein BipA/TypA) (Ribosome assembly factor BipA) (Ribosome-dependent GTPase BipA) (Tyrosine phosphorylated protein A)	bipA o591 typA yihK b3871 JW5571	Escherichia coli (strain K12)	607	bipA
P40395	reviewed	RIC1_YEAST	Guanine nucleotide exchange factor subunit RIC1 (Protein RIC1) (Ribosome control protein 1) (Ric1p)	RIC1 YLR039C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1056	RIC1
Q12176	reviewed	MAK21_YEAST	Ribosome biogenesis protein MAK21 (Maintenance of killer protein 21) (Nucleolar complex protein 1)	MAK21 NOC1 YDR060W D4237 YD9609.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1025	MAK21
Q12100	reviewed	RTK1_YEAST	Probable serine/threonine-protein kinase RTK1 (EC 2.7.11.1) (Ribosome biogenesis and tRNA synthetase-associated kinase 1)	RTK1 YDL025C D2810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	620	RTK1
Q12460	reviewed	NOP56_YEAST	Nucleolar protein 56 (Ribosome biosynthesis protein SIK1) (Suppressor of I kappa b protein 1)	NOP56 SIK1 YLR197W L8167.9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	504	NOP56
Q12019	reviewed	MDN1_YEAST	Midasin (Dynein-related AAA-ATPase REA1) (MIDAS-containing protein) (Ribosome export/assembly protein 1)	MDN1 REA1 YLR106C L2901 L8004.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	4910	MDN1
P40024	reviewed	ARB1_YEAST	ABC transporter ATP-binding protein ARB1 (EC 3.6.5.-) (ATP-binding cassette protein involved in ribosome biogenesis 1)	ARB1 YER036C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	610	ARB1
Q8BK35	reviewed	NOP53_MOUSE	Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (PreS1-binding protein)	Nop53 Gltscr2 Pict1	Mus musculus (Mouse)	484	Nop53
P39729	reviewed	RBG1_YEAST	Ribosome-interacting GTPase 1 (GTP-binding protein RBG1) (Genetically interacts with ribosomal genes protein 1)	RBG1 FUN11 YAL036C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	369	RBG1
Q8R3L2	reviewed	TCF25_MOUSE	Ribosome quality control complex subunit TCF25 (Nuclear localized protein 1) (Transcription factor 25) (TCF-25)	Tcf25 D8Ertd325e Nulp1	Mus musculus (Mouse)	676	Tcf25
F4IH25	reviewed	BOP1_ARATH	Ribosome biogenesis protein BOP1 homolog (Pescadillo-interacting protein 1) (AtPEIP1) (Protein BLOCK OF CELL PROLIFERATION 1)	BOP1 PEIP1 At2g40360	Arabidopsis thaliana (Mouse-ear cress)	753	BOP1
P11484	reviewed	SSB1_YEAST	Ribosome-associated molecular chaperone SSB1 (EC 3.6.4.10) (Cold-inducible protein YG101) (Heat shock protein SSB1) (Hsp70 chaperone Ssb)	SSB1 YG101 YDL229W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	613	SSB1
Q8RX79	reviewed	APG3_ARATH	Peptide chain release factor APG3, chloroplastic (Chloroplast ribosome release factor 1) (AtcpRF1) (Protein ALBINO AND PALE GREEN 3)	APG3 RF1 At3g62910 T20O10.10	Arabidopsis thaliana (Mouse-ear cress)	422	APG3
P32527	reviewed	ZUO1_YEAST	Zuotin (DnaJ-related protein ZUO1) (J protein ZUO1) (Heat shock protein 40 homolog ZUO1) (Ribosome-associated complex subunit ZUO1)	ZUO1 YGR285C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	433	ZUO1
P38788	reviewed	SSZ1_YEAST	Ribosome-associated complex subunit SSZ1 (DnaK-related protein SSZ1) (Heat shock protein 70 homolog SSZ1) (Pleiotropic drug resistance protein 13)	SSZ1 PDR13 YHR064C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	538	SSZ1
Q3UMC0	reviewed	AFG2A_MOUSE	ATPase family gene 2 protein homolog A (EC 3.6.4.10) (AFG2 AAA ATPase homolog A) (Ribosome biogenesis protein SPATA5) (Spermatogenesis-associated factor protein) (Spermatogenesis-associated protein 5)	Afg2a Spaf Spata5	Mus musculus (Mouse)	893	Afg2a
P45748	reviewed	TSAC_ECOLI	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (Ribosome maturation factor TsaC) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC)	tsaC rimN yrdC b3282 JW3243	Escherichia coli (strain K12)	190	tsaC
O35130	reviewed	NEP1_MOUSE	Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.-) (18S rRNA (pseudouridine(1248)-N1)-methyltransferase) (18S rRNA Psi1248 methyltransferase) (Nucleolar protein EMG1 homolog) (Protein C2f) (Ribosome biogenesis protein NEP1)	Emg1 C2f Grcc2f	Mus musculus (Mouse)	244	Emg1
E9PVA8	reviewed	GCN1_MOUSE	Stalled ribosome sensor GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1)	Gcn1 Gcn1l1	Mus musculus (Mouse)	2671	Gcn1
Q1JPL7	reviewed	PME18_ARATH	Pectinesterase/pectinesterase inhibitor 18 (AtPMEpcrA) [Cleaved into: Pectinesterase inhibitor 18 (Pectin methylesterase inhibitor 18); Bifunctional pectinesterase 18/rRNA N-glycosylase (PE 18) (EC 3.1.1.11) (EC 3.2.2.22) (Pectin methylesterase 18) (Pectin methylesterase 4) (AtPME4) (Ribosome-inactivating protein)]	PME18 ARATH4 At1g11580 T23J18.23 T23J18.24 T23J18.33	Arabidopsis thaliana (Mouse-ear cress)	557	PME18
Q6EH50	reviewed	RIP4_PHYHE	Heterotepalin-4 (EC 3.2.2.22) (Ribosome-inactivating protein) (rRNA N-glycosidase)	RIP1	Phytolacca heterotepala (Mexican pokeweed)	312	RIP1
P33186	reviewed	RIPG_SURMU	Ribosome-inactivating protein gelonin (EC 3.2.2.22) (rRNA N-glycosidase) (allergen Gel m RIP)	GEL	Suregada multiflora (False lime) (Gelonium multiflorum)	316	GEL
Q9H9Y2	reviewed	RPF1_HUMAN	Ribosome production factor 1 (Brix domain-containing protein 5) (Ribosome biogenesis protein RPF1)	RPF1 BXDC5	Homo sapiens (Human)	349	RPF1
Q9NSI2	reviewed	SLX9_HUMAN	Ribosome biogenesis protein SLX9 homolog	SLX9 C21orf70 FAM207A PRED56	Homo sapiens (Human)	230	SLX9
P0DW28	reviewed	MNS60_HUMAN	Ribosome biogenesis inhibitor MINAS-60 (MINAS-60)	RBM10	Homo sapiens (Human)	130	RBM10
P84853	reviewed	RIPL1_PHYDI	Ribosome-inactivating protein PD-L1/PD-L2 (EC 3.2.2.22) (rRNA N-glycosidase PD-L1/PD-L2)		Phytolacca dioica (Bella sombra tree) (Phytolacca arborea)	261	
Q9M653	reviewed	RIPT_POLML	Ribosome-inactivating protein PMRIPt [Cleaved into: PMRIPt A chain (rRNA N-glycosidase) (EC 3.2.2.22); Linker peptide; PMRIPt B chain]	RIPt	Polygonatum multiflorum (Solomon's seal) (Convallaria multiflora)	603	RIPt
P10297	reviewed	RIP1_PHYAM	Antiviral protein I (EC 3.2.2.22) (PAP-C) (PAP-I) (PAP-R) (Ribosome-inactivating protein) (rRNA N-glycosidase)	PAP1	Phytolacca americana (American pokeweed) (Phytolacca decandra)	313	PAP1
Q9M654	reviewed	RIPM_POLML	Ribosome-inactivating protein PMRIPm [Cleaved into: PMRIPm A chain (rRNA N-glycosidase) (EC 3.2.2.22); Linker peptide; PMRIPm B chain]	RIPm	Polygonatum multiflorum (Solomon's seal) (Convallaria multiflora)	604	RIPm
Q9UKD2	reviewed	MRT4_HUMAN	mRNA turnover protein 4 homolog (Ribosome assembly factor MRTO4)	MRTO4 C1orf33 MRT4	Homo sapiens (Human)	239	MRTO4
Q8TDN6	reviewed	BRX1_HUMAN	Ribosome biogenesis protein BRX1 homolog (Brix domain-containing protein 2)	BRIX1 BRIX BXDC2	Homo sapiens (Human)	353	BRIX1
Q41358	reviewed	SNAIB_SAMNI	Ribosome-inactivating protein SNAI (Agglutinin I) [Cleaved into: SNAI-A chain (EC 3.2.2.22) (rRNA N-glycosidase); Linker peptide; SNAI-B chain; TrSNAI]	SNA-I LECSNAI SNAI	Sambucus nigra (European elder)	570	SNA-I
O22415	reviewed	SNAIF_SAMNI	Ribosome-inactivating protein SNAIf (Agglutinin I) [Cleaved into: SNAIf-A chain (EC 3.2.2.22) (rRNA N-glycosidase); Linker peptide; SNAIf-B chain; TrSNAIf]	SNA-If LECSNA-If SNAIf	Sambucus nigra (European elder)	570	SNA-If
H9L427	reviewed	BIPA_SALTY	Large ribosomal subunit assembly factor BipA (EC 3.6.5.-) (50S ribosomal subunit assembly factor BipA) (GTP-binding protein BipA) (Ribosome-dependent GTPase BipA)	bipA STM4009	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	607	bipA
Q10284	reviewed	SSB1_SCHPO	Ribosome-associated molecular chaperone sks2 (EC 3.6.4.10) (Heat shock cognate protein hsc1) (Hsp70 chaperone Ssb) (Suppressor of K-252a sensitivity protein 2)	sks2 hsc1 SPBC1709.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	613	sks2
Q40772	reviewed	RIP2_PHYAM	Antiviral protein II/III (EC 3.2.2.22) (Antiviral protein II) (Antiviral protein III) (PAP-II) (PAP-III) (Ribosome-inactivating protein) (rRNA N-glycosidase)	PAP2 PAPII	Phytolacca americana (American pokeweed) (Phytolacca decandra)	310	PAP2
Q70US9	reviewed	VOLK_ADEVO	Volkensin (allergen Ade v RIP) [Cleaved into: Volkensin A chain (VKA) (EC 3.2.2.22) (Ribosome-inactivating protein volkensin) (RIP VK) (rRNA N-glycosidase); Volkensin B chain (VKB)]	volk38	Adenia volkensii (Kilyambiti plant)	523	volk38
Q9UHA3	reviewed	RLP24_HUMAN	Probable ribosome biogenesis protein RLP24 (Ribosomal L24 domain-containing protein 1) (Ribosomal protein L24-like)	RSL24D1 C15orf15 RPL24L My024	Homo sapiens (Human)	163	RSL24D1
P19954	reviewed	PRSP1_SPIOL	Ribosome-binding factor PSRP1, chloroplastic (30S ribosomal protein 1) (CS-S5) (CS5) (Plastid-specific 30S ribosomal protein 1) (PSrp-1) (Ribosomal protein 1) (S22) (Translation factor pY)	PSRP1 RPS22 RPS30 SOVF_177810	Spinacia oleracea (Spinach)	302	PSRP1
P0A805	reviewed	RRF_ECOLI	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr rrf b0172 JW0167	Escherichia coli (strain K12)	185	frr
P0A3B2	reviewed	BIPA_ECO27	Large ribosomal subunit assembly factor BipA (EC 3.6.5.-) (50S ribosomal subunit assembly factor BipA) (GTP-binding protein BipA) (GTP-binding protein BipA/TypA) (Ribosome-dependent GTPase BipA) (Tyrosine phosphorylated protein A)	bipA o591 typA E2348C_4177	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	607	bipA
P38789	reviewed	SSF1_YEAST	Ribosome biogenesis protein SSF1	SSF1 YHR066W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	453	SSF1
Q9M1X0	reviewed	RRFC_ARATH	Ribosome-recycling factor, chloroplastic (RRF) (CpFrr) (RRFHCP) (Ribosome-releasing factor, chloroplastic)	RRF At3g63190 F16M2_40	Arabidopsis thaliana (Mouse-ear cress)	275	RRF
O31743	reviewed	RBGA_BACSU	Ribosome biogenesis GTPase A	rbgA ylqF BSU16050	Bacillus subtilis (strain 168)	282	rbgA
P35184	reviewed	SQT1_YEAST	Ribosome assembly protein SQT1	SQT1 YIR012W YIB12W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	431	SQT1
Q05942	reviewed	RSA3_YEAST	Ribosome assembly protein 3	RSA3 YLR221C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	220	RSA3
P47019	reviewed	ALB1_YEAST	Ribosome biogenesis protein ALB1	ALB1 YJL122W J0723	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175	ALB1
Q07953	reviewed	SDO1_YEAST	Ribosome maturation protein SDO1	SDO1 YLR022C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	250	SDO1
Q08746	reviewed	RRS1_YEAST	Regulator of ribosome biosynthesis	RRS1 YOR294W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	203	RRS1
