File	Terminal	Tag	Purification
BID_GFP_MYC_NLS_1_S1-C10_1	MYC-NLS	MAC	BioID
BID_GFP_MYC_NLS_2_S1-C11_1	MYC-NLS	MAC	BioID
BID_GFP_MYC_NLS_3_S1-C12_1	MYC-NLS	MAC	BioID
BID_GFP_NLS1_1_S1-B2_1	NLS	MAC	BioID
BID_GFP_NLS1_1_S1-C2_1	NLS	MAC	BioID
BID_GFP_NLS1_2_S1-B3_1	NLS	MAC	BioID
BID_GFP_NLS1_2_S1-C3_1	NLS	MAC	BioID
BID_GFP_NLS1_3_S1-B4_1	NLS	MAC	BioID
BID_GFP_NLS1_3_S1-C4_1	NLS	MAC	BioID
BID_gfp-nls_1_S2-B6_1	NLS	MAC	BioID
BID_gfp-nls_2_S2-B7_1	NLS	MAC	BioID
BID_gfp-nls_3_S2-B8_1	NLS	MAC	BioID
MED_1_Bio_S1-C2_1	MED-NLS	MAC	BioID
MED_2_Bio_S1-C3_1	MED-NLS	MAC	BioID
MYC_1_Bio_S1-C5_1	MYC-NLS	MAC	BioID
MYC_2_Bio_S1-C6_1	MYC-NLS	MAC	BioID
NLS1_1_Bio_S1-B5_1	NLS	MAC	BioID
NLS1_2_Bio_S1-B6_1	NLS	MAC	BioID
AP_GFP_C_1_S2-A2_1	C	MAC	AP-MS
AP_GFP_C_2_S2-A3_1	C	MAC	AP-MS
AP_GFP_C_3_S2-A4_1	C	MAC	AP-MS
AP_GFP_N_1_S2-A6_1	N	MAC	AP-MS
AP_GFP_N_2_S2-A7_1	N	MAC	AP-MS
AP_GFP_N_3_S2-A8_1	N	MAC	AP-MS
GFP1a_Rita_AP_S1-A1_1	C	MAC	AP-MS
GFP1b_Rita_AP_S1-A2_1	C	MAC	AP-MS
GFP_AP1_S3-B5_1	C	MAC	AP-MS
GFP_AP2_S3-B6_1	C	MAC	AP-MS
GFP_AP3_S3-B7_1	C	MAC	AP-MS
GFP_AP_1_S1-A8_1	C	MAC	AP-MS
GFP_AP_2_S1-A9_1	C	MAC	AP-MS
GFP_C_1_AP_S1-A5_1	C	MAC	AP-MS
GFP_C_2_AP_S1-A6_1	C	MAC	AP-MS
GFP_C_AP_1_S2-B2_1	C	MAC	AP-MS
GFP_C_AP_2_S2-B3_1	C	MAC	AP-MS
GFP_C_AP_3_S2-B4_1	C	MAC	AP-MS
GFP_N_1_AP_S1-A8_1	N	MAC	AP-MS
GFP_N_2_AP_S1-A9_1	N	MAC	AP-MS
MAC2_C_GFP1_S3-A1_1	C	MAC2	AP-MS
MAC2_C_GFP2_S3-A2_1	C	MAC2	AP-MS
MAC2_C_GFP3_S3-A3_1	C	MAC2	AP-MS
MAC2_C_GFP4_S3-A4_1	C	MAC2	AP-MS
MAC2_C_GFP5_S3-A5_1	C	MAC2	AP-MS
MAC2_C_GFP6_S3-A6_1	C	MAC2	AP-MS
MAC2_C_GFP7_S3-A7_1	C	MAC2	AP-MS
MAC2_C_GFP8_S3-A8_1	C	MAC2	AP-MS
MAC2_N_GFP1_S3-B1_1	N	MAC2	AP-MS
MAC2_N_GFP2_S3-B2_1	N	MAC2	AP-MS
MAC2_N_GFP3_S3-B3_1	N	MAC2	AP-MS
MAC2_N_GFP4_S3-B4_1	N	MAC2	AP-MS
MAC2_N_GFP5_S3-B5_1	N	MAC2	AP-MS
MAC2_N_GFP6_S3-B6_1	N	MAC2	AP-MS
MAC2_N_GFP7_S3-B7_1	N	MAC2	AP-MS
MAC2_N_GFP8_S3-B8_1	N	MAC2	AP-MS
MAC_C_GFP1_S3-A1_1	C	MAC	AP-MS
MAC_C_GFP2_S3-A2_1	C	MAC	AP-MS
MAC_C_GFP3_S3-A3_1	C	MAC	AP-MS
MAC_C_GFP4_S3-A4_1	C	MAC	AP-MS
MAC_C_GFP5_S3-A5_1	C	MAC	AP-MS
MAC_C_GFP6_S3-A6_1	C	MAC	AP-MS
MAC_C_GFP7_S3-A7_1	C	MAC	AP-MS
MAC_C_GFP8_S3-A8_1	C	MAC	AP-MS
MAC_N_GFP1_S3-C1_1	N	MAC	AP-MS
MAC_N_GFP2_S3-C2_1	N	MAC	AP-MS
MAC_N_GFP3_S3-C3_1	N	MAC	AP-MS
MAC_N_GFP4_S3-C4_1	N	MAC	AP-MS
MAC_N_GFP5_S3-C5_1	N	MAC	AP-MS
MAC_N_GFP6_S3-C6_1	N	MAC	AP-MS
MAC_N_GFP7_S3-C7_1	N	MAC	AP-MS
MAC_N_GFP8_S3-C8_1	N	MAC	AP-MS
SUC_N_GFP1_S3-D1_1	N	MAC3	AP-MS
SUC_N_GFP2_S3-D2_1	N	MAC3	AP-MS
SUC_N_GFP3_S3-D3_1	N	MAC3	AP-MS
SUC_N_GFP4_S3-D4_1	N	MAC3	AP-MS
SUC_N_GFP5_S3-D5_1	N	MAC3	AP-MS
SUC_N_GFP6_S3-D6_1	N	MAC3	AP-MS
SUC_N_GFP7_S3-D7_1	N	MAC3	AP-MS
SUC_N_GFP8_S3-D8_1	N	MAC3	AP-MS
AP_GFP_MED_NLS_1_S2-B2_1	MED-NLS	MAC	AP-MS
AP_GFP_MED_NLS_2_S2-B3_1	MED-NLS	MAC	AP-MS
AP_GFP_MED_NLS_3_S2-B4_1	MED-NLS	MAC	AP-MS
AP_GFP_MYC_NLS_1_S2-B6_1	MYC-NLS	MAC	AP-MS
AP_GFP_MYC_NLS_2_S2-B7_1	MYC-NLS	MAC	AP-MS
AP_GFP_MYC_NLS_3_S2-B8_1	MYC-NLS	MAC	AP-MS
AP_GFP_NLS1_1_S2-A10_1	NLS	MAC	AP-MS
AP_GFP_NLS1_2_S2-A11_1	NLS	MAC	AP-MS
AP_GFP_NLS1_3_S2-A12_1	NLS	MAC	AP-MS
AP_gfp-nls_1_S2-A7_1	NLS	MAC	AP-MS
AP_gfp-nls_1_S2-A8_1	NLS	MAC	AP-MS
MED_1_AP_S1-A11_1	MED-NLS	MAC	AP-MS
MED_2_AP_S1-A12_1	MED-NLS	MAC	AP-MS
MYC_1_AP_S1-B2_1	MYC-NLS	MAC	AP-MS
MYC_2_AP_S1-B3_1	MYC-NLS	MAC	AP-MS
NLS1_1_AP_S1-A2_1	NLS	MAC	AP-MS
NLS1_2_AP_S1-A3_1	NLS	MAC	AP-MS
