PROTID	GENEID	PROTLEN	9_1_Bio_S1-E9_1_2770_SPC	9_2_Bio_S1-E10_1_2771_SPC	9_3_Bio_S1-E11_1_2772_SPC	BID_GFP_C_1_S1-B10_1_5630_SPC	BID_GFP_C_1_S1-B6_1_5626_SPC	BID_GFP_C_1_S1-B6_1_6587_SPC	BID_GFP_C_2_S1-B11_1_5631_SPC	BID_GFP_C_2_S1-B7_1_5627_SPC	BID_GFP_C_2_S1-B7_1_6588_SPC	BID_GFP_C_3_S1-B8_1_5628_SPC	BID_GFP_C_3_S1-B8_1_6589_SPC	BID_GFP_MED_NLS_1_S1-C6_1_6599_SPC	BID_GFP_MED_NLS_2_S1-C7_1_6600_SPC	BID_GFP_MED_NLS_3_S1-C8_1_6601_SPC	BID_GFP_MYC_NLS_1_S1-C10_1_6603_SPC	BID_GFP_MYC_NLS_2_S1-C11_1_6604_SPC	BID_GFP_MYC_NLS_3_S1-C12_1_6605_SPC	BID_GFP_NLS1_1_S1-B2_1_5622_SPC	BID_GFP_NLS1_1_S1-C2_1_6595_SPC	BID_GFP_NLS1_2_S1-B3_1_5623_SPC	BID_GFP_NLS1_2_S1-C3_1_6596_SPC	BID_GFP_NLS1_3_S1-B4_1_5624_SPC	BID_GFP_NLS1_3_S1-C4_1_6597_SPC	BID_GFP_N_1_S1-B10_1_6591_SPC	BID_GFP_N_2_S1-B11_1_6592_SPC	BID_GFP_N_3_S1-B12_1_6593_SPC	BID_gfp-nls_1_S2-B6_1_4628_SPC	BID_gfp-nls_2_S2-B7_1_4629_SPC	BID_gfp-nls_3_S2-B8_1_4630_SPC	Bio_GFP_1_S2-A1_1_3928_SPC	Bio_GFP_2_S2-A2_1_3929_SPC	Bio_GFP_3_S2-A3_1_3930_SPC	Bio_GFP_4_S2-A4_1_3931_SPC	GFP1_Bio_S1-C3_1_2608_SPC	GFP1_Bio_S1-C4_1_2609_SPC	GFP1_Bio_S1-C5_1_2610_SPC	GFP1_Bio_S1-C6_1_2611_SPC	GFP_BIO1_S3-D5_1_1185_SPC	GFP_BIO2_S3-D6_1_1186_SPC	GFP_BIOID_Slot1-23_1_251_SPC	GFP_BIOID_Slot1-24_1_254_SPC	GFP_BIO_1_S1-C12_1_4066_SPC	GFP_C_1_Bio_S1-B8_1_6794_SPC	GFP_C_2_Bio_S1-B9_1_6795_SPC	GFP_C_BIO_1_S2-C6_1_4541_SPC	GFP_C_BIO_2_S2-C7_1_4542_SPC	GFP_C_BIO_3_S2-C8_1_4543_SPC	GFP_N_1_Bio_S1-B11_1_6797_SPC	GFP_N_2_Bio_S1-B12_1_6798_SPC	GFP_S1-H2_1_6362_SPC	GFP_S1-H3_1_6363_SPC	MAC2_C_GFP_BIO10_S1-B5_1_4434_SPC	MAC2_C_GFP_BIO1_S3-E1_1_3610_SPC	MAC2_C_GFP_BIO2_S3-E2_1_3611_SPC	MAC2_C_GFP_BIO3_S3-E3_1_3612_SPC	MAC2_C_GFP_BIO4_S3-E4_1_3613_SPC	MAC2_C_GFP_BIO5_S3-E5_1_3614_SPC	MAC2_C_GFP_BIO6_S3-E6_1_3615_SPC	MAC2_C_GFP_BIO7_S3-E7_1_3616_SPC	MAC2_C_GFP_BIO8_S3-E8_1_3617_SPC	MAC2_C_GFP_BIO9_S1-B4_1_4433_SPC	MAC2_N_GFP_BIO10_S1-B8_1_4437_SPC	MAC2_N_GFP_BIO1_S3-F1_1_3619_SPC	MAC2_N_GFP_BIO2_S3-F2_1_3620_SPC	MAC2_N_GFP_BIO3_S3-F3_1_3621_SPC	MAC2_N_GFP_BIO4_S3-F4_1_3622_SPC	MAC2_N_GFP_BIO5_S3-F5_1_3623_SPC	MAC2_N_GFP_BIO6_S3-F6_1_3624_SPC	MAC2_N_GFP_BIO7_S3-F7_1_3625_SPC	MAC2_N_GFP_BIO8_S3-F8_1_3626_SPC	MAC2_N_GFP_BIO9_S1-B7_1_4436_SPC	MAC_N_GFP_BIO4_S3-D4_1_3676_SPC	MAC_N_GFP_BIO5_S3-D5_1_3677_SPC	MED_1_Bio_S1-C2_1_6800_SPC	MED_2_Bio_S1-C3_1_6801_SPC	MYC_1_Bio_S1-C5_1_6803_SPC	MYC_2_Bio_S1-C6_1_6804_SPC	NLS1_1_Bio_S1-B5_1_6791_SPC	NLS1_2_Bio_S1-B6_1_6792_SPC	SUC_N_GFP_BIO10_S1-C2_1_4443_SPC	SUC_N_GFP_BIO1_S3-H1_1_3637_SPC	SUC_N_GFP_BIO2_S3-H2_1_3638_SPC	SUC_N_GFP_BIO3_S3-H3_1_3639_SPC	SUC_N_GFP_BIO4_S3-H4_1_3640_SPC	SUC_N_GFP_BIO5_S3-H5_1_3641_SPC	SUC_N_GFP_BIO6_S3-H6_1_3642_SPC	SUC_N_GFP_BIO7_S3-H7_1_3643_SPC	SUC_N_GFP_BIO8_S3-H8_1_3644_SPC	SUC_N_GFP_BIO9_S1-C1_1_4442_SPC
P02668	CSN3	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	2	3	5	5	5	3	0
P02769	ALB	607	27	27	26	6	2	4	1	1	1	3	7	15	9	9	7	10	9	4	10	6	5	1	5	3	4	9	0	1	1	11	6	34	39	20	23	25	27	1	4	27	18	3	18	17	2	4	3	19	28	9	4	21	21	16	20	10	11	13	13	17	22	5	16	14	11	9	10	10	10	11	3	23	17	15	11	11	13	18	27	1	11	5	6	7	8	4	9	6	0
P15252		138	0	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	6	0	4	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
P42212	GFP	238	50	46	49	37	26	30	39	25	32	24	39	31	27	25	33	28	28	21	23	21	27	23	25	41	42	32	32	29	38	54	42	39	46	32	38	37	45	22	25	43	47	20	36	41	119	84	109	30	35	21	24	71	80	68	78	74	69	77	83	68	81	29	46	51	48	46	50	44	47	36	22	20	24	20	21	33	27	28	35	21	39	36	36	35	34	43	35	32	21
A0A0B4J2D5	GATD3B	268	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	2	3	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	4	0	0	0	0	0	0	0	0	0	0
A0A1W2PQ72	MSANTD7	361	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	1	3	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	4	6	3	4	6	4	0	0	0	0	0	0	0	0	0	0
A0A2R8Y4L2	HNRNPA1L3	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AV96	RBM47	593	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0
A0AVF1	TTC26	554	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	6	5	5	7	7	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AVK6	E2F8	867	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	2	1	1	0	0	0	0	2	0	0	0	2	1	0	0	1	1	0	2	5	3	2	4	2	2	4	0
A0AVT1	UBA6	1052	1	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	1	0	2	0	2	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	12	11	11	7	6	6	8	7	8	13	0	1	4	2	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A0FGR8	ESYT2	921	1	2	4	1	4	2	3	3	0	3	0	0	0	0	0	1	0	4	1	3	1	1	2	0	1	5	4	3	1	0	0	0	3	5	4	6	8	2	1	26	13	0	3	1	0	3	0	5	4	3	4	2	2	2	3	3	1	2	3	6	5	0	0	1	1	4	2	2	3	1	0	0	0	0	1	1	0	6	6	0	3	2	3	0	2	1	3	4	0
A0JLT2	MED19	244	0	0	0	0	0	1	0	0	0	1	0	3	1	2	1	3	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0JNW5	UHRF1BP1L	1464	0	0	0	7	1	5	8	1	8	4	4	1	0	0	0	2	2	0	5	0	6	0	6	10	13	1	0	0	0	1	0	3	4	1	0	3	3	4	2	3	1	2	2	5	0	0	0	6	5	3	1	5	7	4	2	6	7	3	7	4	1	0	11	8	9	8	8	10	7	11	0	2	3	0	0	0	0	6	5	0	1	2	2	2	2	4	1	2	0
A0MZ66	SHTN1	631	2	2	3	27	9	24	25	5	32	6	31	6	3	6	10	9	7	3	28	1	33	0	27	24	23	27	1	3	0	6	8	45	35	30	30	26	30	38	37	30	33	7	35	26	34	32	33	14	23	13	23	13	11	11	15	18	17	12	17	12	14	3	10	16	11	9	11	12	14	17	3	23	25	10	4	10	10	30	26	2	7	7	11	10	9	9	9	10	3
A1A4S6	ARHGAP10	786	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	4	0	1	1	2	1	3	1	2	3	0	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	3	1	2	2	4	4	2	4	0
A1KXE4	FAM168B	195	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L0T0	ILVBL	632	5	6	6	1	3	3	1	1	1	0	2	1	0	1	4	1	0	5	2	3	1	1	0	8	10	7	0	0	0	0	0	3	5	7	3	5	4	1	1	9	9	2	3	6	0	0	0	5	7	0	0	1	3	3	6	4	3	3	6	3	6	0	0	0	0	0	0	0	0	0	0	5	4	5	6	5	6	5	3	0	3	1	5	2	1	5	7	5	0
A1L170	C1orf226	272	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	1	0	0	0	0	2	0	0	0	1	2	0	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L390	PLEKHG3	1219	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	3	3	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
A1X283	SH3PXD2B	911	0	0	0	5	10	0	4	8	0	8	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	7	4	5	6	2	3	4	0	0	1	1	2	1	0	2	2	1	1	1	0	1	2	0	2	1	2	0	0	0	0	0	1	1	1	2	1	2	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
A1XBS5	CIBAR1	289	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	1	0	0	1	0	0	0	1	0	2	2	2	2	1	0	2	1	0	1	0	0	0	0	0	0	2	0	1	1	1	2	1	1	2	3	0
A2RRP1	NBAS	2371	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	2	1	0	2	0	0	0	0	3	2	3	0	0	0	1	1	7	5	1	3	3	3	1	6	2	2	0	0	3	0	1	0	1	3	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
A3KMH1	VWA8	1905	1	2	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3KN83	SBNO1	1393	0	0	0	12	4	12	10	6	7	4	7	18	23	24	21	25	15	5	7	3	5	0	7	7	10	5	0	1	0	7	6	5	5	4	4	6	1	5	3	61	51	3	9	10	0	1	0	5	11	5	3	3	1	2	1	4	4	3	2	3	4	0	4	10	10	7	12	10	10	8	3	1	0	28	19	34	25	7	5	0	3	3	4	7	6	4	5	4	0
A4D161	FAM221A	298	1	1	1	2	0	2	2	0	1	0	1	1	2	3	1	2	1	0	4	0	1	0	1	1	0	0	0	0	0	1	2	0	1	3	2	2	3	0	1	5	2	2	1	1	0	0	0	1	1	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	2	1	2	1	3	3	2	6	3	4	2	3	0
A4D1E9	GTPBP10	387	0	0	0	0	0	0	0	0	0	0	0	6	4	3	2	4	4	0	2	0	1	0	1	3	6	9	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
A4D1P6	WDR91	747	0	0	0	1	0	1	2	0	1	0	4	0	0	0	1	3	0	0	2	0	2	0	2	1	2	2	0	0	0	2	0	0	0	0	0	0	0	1	2	1	1	0	0	4	0	0	0	0	1	1	2	0	0	1	2	0	0	0	0	0	0	0	1	1	2	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
